Atlantic,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
104,13.5,1.40E-03,1.04E-03,8.22E-04,8.17E-04,2.84E-03,6.74E-03,7.11E-03,7.61E-03,8.64E-03,7.18E-03,3.36E-03,2.46E-03
103,12.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
102,11.5,4.85E-04,3.97E-04,3.27E-04,2.72E-04,3.11E-04,3.25E-04,4.05E-04,4.49E-04,4.89E-04,5.22E-04,5.25E-04,5.05E-04
101,10.5,9.29E-03,5.39E-03,4.54E-03,5.40E-03,7.70E-03,1.03E-02,1.16E-02,1.20E-02,1.21E-02,1.28E-02,1.40E-02,1.35E-02
100,9.5,1.67E-02,1.07E-02,8.43E-03,1.07E-02,2.33E-02,4.39E-02,6.78E-02,8.68E-02,8.28E-02,5.97E-02,4.06E-02,2.74E-02
99,8.5,3.02E-04,1.85E-04,1.48E-04,2.52E-04,6.29E-04,1.00E-03,8.21E-04,1.03E-03,1.54E-03,2.08E-03,1.41E-03,5.78E-04
98,7.5,2.78E-04,1.52E-04,9.05E-05,1.27E-04,2.25E-04,7.49E-04,2.84E-03,9.84E-03,1.70E-02,7.64E-03,1.59E-03,6.09E-04
97,6.5,1.38E-02,1.38E-02,1.19E-02,1.49E-02,2.14E-02,2.92E-02,2.94E-02,2.55E-02,2.42E-02,2.11E-02,1.54E-02,1.47E-02
96,5.5,5.79E-03,7.33E-03,1.14E-02,1.76E-02,2.04E-02,2.40E-02,1.88E-02,1.48E-02,1.15E-02,9.13E-03,4.57E-03,4.48E-03
95,4.5,1.22E-02,1.40E-02,1.12E-02,6.53E-03,2.82E-03,1.41E-03,1.93E-03,5.24E-03,1.05E-02,1.07E-02,9.83E-03,1.10E-02
94,3.5,7.11E-03,7.49E-03,8.68E-03,1.03E-02,1.34E-02,1.43E-02,1.45E-02,1.42E-02,1.98E-02,2.53E-02,1.64E-02,8.27E-03
93,2.5,3.36E-04,2.73E-04,3.98E-04,6.83E-04,8.41E-04,7.89E-04,4.74E-04,2.27E-04,5.62E-04,1.40E-03,1.49E-03,8.04E-04
92,1.5,1.58E-03,2.68E-03,3.94E-03,4.90E-03,5.01E-03,4.13E-03,3.07E-03,2.10E-03,1.22E-03,7.35E-04,5.06E-04,6.84E-04
91,0.5,5.22E-04,7.68E-04,8.60E-04,1.26E-03,1.26E-03,1.05E-03,7.37E-04,4.97E-04,3.80E-04,3.46E-04,3.80E-04,3.04E-04
90,-0.5,1.80E-01,2.03E-01,2.33E-01,2.70E-01,3.00E-01,2.96E-01,2.71E-01,2.30E-01,1.87E-01,1.56E-01,1.51E-01,1.62E-01
89,-1.5,2.33E-02,3.66E-02,4.57E-02,4.56E-02,3.18E-02,1.65E-02,1.04E-02,7.79E-03,7.02E-03,6.80E-03,7.64E-03,1.22E-02
