Indian,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
66,-24.5,1.32E-03,2.29E-03,1.81E-03,7.15E-04,3.68E-04,2.78E-04,1.96E-04,1.31E-04,6.37E-05,5.28E-05,5.18E-04,1.65E-04
65,-25.5,1.41E-03,1.70E-03,1.14E-03,5.30E-04,3.23E-04,3.13E-04,2.67E-04,1.98E-04,1.48E-04,1.71E-04,2.68E-04,6.76E-04
64,-26.5,7.51E-04,8.85E-04,6.43E-04,4.57E-04,3.08E-04,2.85E-04,1.95E-04,1.64E-04,1.63E-04,2.60E-04,3.61E-04,4.41E-04
63,-27.5,6.11E-07,8.05E-06,2.06E-05,1.67E-05,6.49E-06,1.57E-05,3.51E-05,1.66E-05,1.14E-06,3.57E-07,2.71E-06,5.74E-07
62,-28.5,1.94E-04,1.56E-03,6.93E-04,3.86E-04,1.21E-04,1.26E-05,5.67E-06,4.91E-06,7.46E-06,1.92E-05,4.59E-05,8.57E-05
61,-29.5,9.57E-04,2.44E-03,1.08E-03,6.03E-04,1.88E-04,6.23E-05,2.80E-05,2.42E-05,3.68E-05,9.45E-05,2.27E-04,4.23E-04
60,-30.5,5.77E-07,1.97E-06,7.39E-06,2.60E-06,9.35E-06,2.29E-05,5.68E-05,3.95E-05,1.47E-05,3.59E-06,9.25E-07,6.76E-07
59,-31.5,1.66E-05,3.79E-05,6.05E-06,1.31E-05,3.44E-05,7.43E-05,1.29E-04,1.18E-04,6.19E-05,2.14E-05,5.91E-06,1.42E-06
58,-32.5,7.63E-06,3.72E-06,3.13E-06,4.46E-06,1.22E-05,1.03E-04,2.21E-04,2.21E-04,9.73E-05,3.76E-05,1.33E-05,5.70E-06
57,-33.5,3.10E-05,3.75E-05,4.45E-05,4.29E-05,2.57E-05,2.51E-05,1.03E-04,1.05E-04,3.77E-05,3.13E-05,7.58E-05,4.87E-05
56,-34.5,3.02E-05,1.94E-04,8.76E-06,1.44E-05,4.25E-05,1.34E-04,6.62E-04,7.63E-04,4.66E-04,2.05E-04,7.39E-05,2.65E-05
55,-35.5,3.08E-05,1.22E-04,5.49E-06,9.05E-06,2.67E-05,3.25E-05,7.94E-04,1.34E-03,8.31E-04,2.50E-04,7.63E-05,2.45E-05
54,-36.5,1.59E-05,5.11E-06,2.31E-07,3.81E-07,1.12E-06,1.13E-05,4.39E-04,7.48E-04,4.63E-04,1.37E-04,4.13E-05,1.27E-05
53,-37.5,9.94E-06,4.40E-06,1.99E-07,3.27E-07,9.64E-07,8.40E-06,2.74E-04,4.65E-04,2.87E-04,8.56E-05,2.59E-05,8.00E-06
52,-38.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
51,-39.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
50,-40.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
49,-41.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
48,-42.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
47,-43.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
46,-44.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
45,-45.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
44,-46.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
43,-47.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
42,-48.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
41,-49.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
40,-50.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
39,-51.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
38,-52.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
37,-53.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
36,-54.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
35,-55.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
34,-56.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
33,-57.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
32,-58.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
31,-59.5,,,,,,,,,,,,
30,-60.5,,,,,,,,,,,,
29,-61.5,,,,,,,,,,,,
28,-62.5,,,,,,,,,,,,
27,-63.5,,,,,,,,,,,,
26,-64.5,,,,,,,,,,,,
25,-65.5,,,,,,,,,,,,
24,-66.5,,,,,,,,,,,,
23,-67.5,,,,,,,,,,,,
22,-68.5,,,,,,,,,,,,
21,-69.5,,,,,,,,,,,,
20,-70.5,,,,,,,,,,,,
19,-71.5,,,,,,,,,,,,
18,-72.5,,,,,,,,,,,,
17,-73.5,,,,,,,,,,,,
16,-74.5,,,,,,,,,,,,
15,-75.5,,,,,,,,,,,,
14,-76.5,,,,,,,,,,,,
13,-77.5,,,,,,,,,,,,
12,-78.5,,,,,,,,,,,,
11,-79.5,,,,,,,,,,,,
10,-80.5,,,,,,,,,,,,
9,-81.5,,,,,,,,,,,,
8,-82.5,,,,,,,,,,,,
7,-83.5,,,,,,,,,,,,
6,-84.5,,,,,,,,,,,,
5,-85.5,,,,,,,,,,,,
4,-86.5,,,,,,,,,,,,
3,-87.5,,,,,,,,,,,,
2,-88.5,,,,,,,,,,,,
1,-89.5,,,,,,,,,,,,
